Player + Prop,Player + Prop + Line,Sport,Player ID,Player Name,Position,Team,Stat Type,Line Score,Adjusted Odds,Date,Start Time (CST),Status,League,Odds Type,Headshot URL,Data ID,Average Line,Average No-Vig Over %,Average No-Vig Under %,Percent Difference,Max No-Vig %,Bet Tag,Player Image,Game Start Time,Fav,Spread,O/U,Game Short Title,Scheduled At,Match Progress,Venue Name,Venue Type,Broadcasts,Max No-Vig % Price,True Price,Date,True Point Average Line,EST. Return Date,Injury Status,Comment,Starter,Opp,PrizePicks,Opportunities,Edge % Over,Edge % Under,Edge %,DvP Projection,DVP Rank,Opp +/-,DVP Bet,Average Projected,DVP Adjusted,Total Projection,Underdog Line,Callout Bet Tag
Aliyah Boston + Alyssa ThomasPoints(Combo),Aliyah Boston + Alyssa ThomasPoints(Combo)31,WNBA,325023,Aliyah Boston + Alyssa Thomas,FC,IND/PHX,Points (Combo),31,N/A,6/24/2026,12/30/1899,pre_game,WNBA,standard,https://static.prizepicks.com/images/players/CMBO_group_SjkYVHOTf2Ht8FQansSzqDua.webp,12797830,,,,,,,,,Yes,-8.7,176,Mercury @ Fever,2026-06-24T23:30:00Z,Wed 07:30pm,N/A,N/A,USA,,,6/24/2026,,,,,No,,,0,,,,0,,0,,0,0,31,0,Push
Caitlin ClarkPts+Asts,Caitlin ClarkPts+Asts30.5,WNBA,237851,Caitlin Clark,G,IND,Pts+Asts,30.5,N/A,6/24/2026,12/30/1899,pre_game,WNBA,standard,https://static.prizepicks.com/images/players/WNBA/Caitlin_Clark_WNBA_player_QSGioalNHPIX9vjS6b9g2AVO.webp,12776187,30.5,51.02,48.98,-4.93,51.02,Over,https://www.freeiconspng.com/img/1934,,Yes,-8.7,176,Mercury @ Fever,2026-06-24T23:30:00Z,Wed 07:30pm,N/A,N/A,USA,,,6/24/2026,30.5,,,,No,SEA,40.13,31,51.02,48.98,51.02,30.5,,0,,30.5,30.5,30.5,0,Push
Aliyah BostonPts+Rebs+Asts,Aliyah BostonPts+Rebs+Asts28.5,WNBA,237853,Aliyah Boston,FC,IND,Pts+Rebs+Asts,28.5,N/A,6/24/2026,12/30/1899,pre_game,WNBA,standard,https://static.prizepicks.com/images/players/WNBA/Aliyah_Boston_WNBA_player_G6uHubog9X1bQPpQo9lPzFr9.webp,12777081,28.5,48.97,51.03,-6.78,51.03,Under,https://www.freeiconspng.com/img/1934,,Yes,-8.7,176,Mercury @ Fever,2026-06-24T23:30:00Z,Wed 07:30pm,N/A,N/A,USA,,,6/24/2026,28.5,,,,No,SEA,34.82,29,48.97,51.03,51.03,28.5,,0,,28.5,28.5,28.5,0,Push
Kahleah CopperFantasyScore,Kahleah CopperFantasyScore27.5,WNBA,237861,Kahleah Copper,GF,PHX,Fantasy Score,27.5,N/A,6/24/2026,12/30/1899,pre_game,WNBA,standard,https://static.prizepicks.com/images/players/WNBA/Kahleah_Copper_WNBA_player_9sdpFraLf7BPUoSv6TFkRvw3.webp,12791751,,,,,,Push,,,No,8.7,176,Mercury @ Fever,2026-06-24T23:30:00Z,Wed 07:30pm,N/A,N/A,USA,,,6/24/2026,26.84,,,,No,IND,26.84,34,50,50,50,26.84,5,-0.0456,under,26.84,26.79,27.1,27.55,Push
Kelsey MitchellFantasyScore,Kelsey MitchellFantasyScore27.5,WNBA,237852,Kelsey Mitchell,G,IND,Fantasy Score,27.5,N/A,6/24/2026,12/30/1899,pre_game,WNBA,standard,https://static.prizepicks.com/images/players/WNBA/Kelsey_Mitchell_WNBA_player_EIjpvNmrTSUtZ3DS46UvarB1.webp,12791760,,,,,,Push,,,Yes,-8.7,176,Mercury @ Fever,2026-06-24T23:30:00Z,Wed 07:30pm,N/A,N/A,USA,,,6/24/2026,27.98,,,,No,SEA,27.98,31,50,50,50,27.98,,0,,27.98,27.98,27.8,27.55,Push
Caitlin ClarkPts+Rebs,Caitlin ClarkPts+Rebs26.5,WNBA,237851,Caitlin Clark,G,IND,Pts+Rebs,26.5,N/A,6/24/2026,12/30/1899,pre_game,WNBA,standard,https://static.prizepicks.com/images/players/WNBA/Caitlin_Clark_WNBA_player_QSGioalNHPIX9vjS6b9g2AVO.webp,12776188,26.5,49.63,50.37,-3.76,50.37,Under,https://www.freeiconspng.com/img/1934,,Yes,-8.7,176,Mercury @ Fever,2026-06-24T23:30:00Z,Wed 07:30pm,N/A,N/A,USA,,,6/24/2026,26.5,,,,No,SEA,40.13,31,49.63,50.37,50.37,26.5,,0,,26.5,26.5,26.5,0,Push
Kahleah CopperPts+Rebs+Asts,Kahleah CopperPts+Rebs+Asts25.5,WNBA,237861,Kahleah Copper,GF,PHX,Pts+Rebs+Asts,25.5,N/A,6/24/2026,12/30/1899,pre_game,WNBA,standard,https://static.prizepicks.com/images/players/WNBA/Kahleah_Copper_WNBA_player_9sdpFraLf7BPUoSv6TFkRvw3.webp,12776788,25.5,50.44,49.56,-8.25,50.44,Over,https://www.freeiconspng.com/img/1934,,No,8.7,176,Mercury @ Fever,2026-06-24T23:30:00Z,Wed 07:30pm,N/A,N/A,USA,,,6/24/2026,25.5,,,,No,IND,26.84,34,50.44,49.56,50.44,25.5,14,-0.0825,under,25.5,25.42,25.48,0,Push
Aliyah BostonPts+Rebs,Aliyah BostonPts+Rebs25.5,WNBA,237853,Aliyah Boston,FC,IND,Pts+Rebs,25.5,N/A,6/24/2026,12/30/1899,pre_game,WNBA,standard,https://static.prizepicks.com/images/players/WNBA/Aliyah_Boston_WNBA_player_G6uHubog9X1bQPpQo9lPzFr9.webp,12777080,25,50.65,49.35,-5.87,50.65,Under,https://www.freeiconspng.com/img/1934,,Yes,-8.7,176,Mercury @ Fever,2026-06-24T23:30:00Z,Wed 07:30pm,N/A,N/A,USA,,,6/24/2026,25,,,,No,SEA,34.82,29,48.58991977,51.41008023,50,25,,0,,25,25,25.13,0,Push
Kelsey MitchellPts+Rebs+Asts,Kelsey MitchellPts+Rebs+Asts25,WNBA,237852,Kelsey Mitchell,G,IND,Pts+Rebs+Asts,25,N/A,6/24/2026,12/30/1899,pre_game,WNBA,standard,https://static.prizepicks.com/images/players/WNBA/Kelsey_Mitchell_WNBA_player_EIjpvNmrTSUtZ3DS46UvarB1.webp,12777313,24.5,51.77,48.23,-4.18,51.77,Under,https://www.freeiconspng.com/img/1934,,Yes,-8.7,176,Mercury @ Fever,2026-06-24T23:30:00Z,Wed 07:30pm,N/A,N/A,USA,,,6/24/2026,24.5,,,,No,SEA,27.98,31,49.08121134,50.91878866,50,24.5,,0,,24.5,24.5,24.63,0,Push
Alyssa ThomasPts+Asts,Alyssa ThomasPts+Asts23.5,WNBA,237863,Alyssa Thomas,F,PHX,Pts+Asts,23.5,N/A,6/24/2026,12/30/1899,pre_game,WNBA,standard,https://static.prizepicks.com/images/players/WNBA/Alyssa_Thomas_WNBA_player_c83t6yiGUdTaX15qhECRPsSg.webp,12776780,23.5,50.45,49.55,-4.37,50.45,Over,https://www.freeiconspng.com/img/1934,,No,8.7,176,Mercury @ Fever,2026-06-24T23:30:00Z,Wed 07:30pm,N/A,N/A,USA,,,6/24/2026,23.5,,,,No,IND,38.19,35,50.45,49.55,50.45,23.5,5,-0.0456,under,23.5,23.45,23.49,0,Push
Kahleah CopperPts+Rebs,Kahleah CopperPts+Rebs23.5,WNBA,237861,Kahleah Copper,GF,PHX,Pts+Rebs,23.5,N/A,6/24/2026,12/30/1899,pre_game,WNBA,standard,https://static.prizepicks.com/images/players/WNBA/Kahleah_Copper_WNBA_player_9sdpFraLf7BPUoSv6TFkRvw3.webp,12776787,23.5,49.41,50.59,-5.36,50.59,Under,https://www.freeiconspng.com/img/1934,,No,8.7,176,Mercury @ Fever,2026-06-24T23:30:00Z,Wed 07:30pm,N/A,N/A,USA,,,6/24/2026,23.5,,,,No,IND,26.84,34,49.41,50.59,50.59,23.5,14,-0.0825,under,23.5,23.42,23.48,0,Push
Kelsey MitchellPts+Asts,Kelsey MitchellPts+Asts22.5,WNBA,237852,Kelsey Mitchell,G,IND,Pts+Asts,22.5,N/A,6/24/2026,12/30/1899,pre_game,WNBA,standard,https://static.prizepicks.com/images/players/WNBA/Kelsey_Mitchell_WNBA_player_EIjpvNmrTSUtZ3DS46UvarB1.webp,12776794,23,49.04,50.96,-3.59,50.96,Under,https://www.freeiconspng.com/img/1934,,Yes,-8.7,176,Mercury @ Fever,2026-06-24T23:30:00Z,Wed 07:30pm,N/A,N/A,USA,,,6/24/2026,23,,,,No,SEA,27.98,31,48.61135848,51.38864152,50,23,,0,,23,23,22.88,0,Push
Alyssa ThomasPts+Rebs,Alyssa ThomasPts+Rebs22.5,WNBA,237863,Alyssa Thomas,F,PHX,Pts+Rebs,22.5,N/A,6/24/2026,12/30/1899,pre_game,WNBA,standard,https://static.prizepicks.com/images/players/WNBA/Alyssa_Thomas_WNBA_player_c83t6yiGUdTaX15qhECRPsSg.webp,12777083,22.5,50.3,49.7,-5.66,50.3,Over,https://www.freeiconspng.com/img/1934,,No,8.7,176,Mercury @ Fever,2026-06-24T23:30:00Z,Wed 07:30pm,N/A,N/A,USA,,,6/24/2026,22.5,,,,No,IND,38.19,35,50.3,49.7,50.3,22.5,14,-0.0825,under,22.5,22.42,22.48,0,Push
